object_name,okato,oktmo,Год,Всего,Мужчины,Женщины,Городское население,Сельское население,0–17 лет,18 лет и старше,Моложе трудоспособного,В трудоспособном возрасте,Старше трудоспособного,Население пенсионного возраста
Алтайский край,01000000,01000000,2013_avg,2368760.0,1092080.0,1276680.0,1321073.0,1047687.0,463307.0,1905453.0,419986.0,1372036.0,576738.0,282684.0
Алтайский край,01000000,01000000,2014_avg,2351464.0,1083340.0,1268124.0,1319021.0,1032443.0,470598.0,1880866.0,427972.0,1336589.0,586902.0,287456.0
Алтайский край,01000000,01000000,2015_avg,2334206.0,1074609.0,1259598.0,1315761.0,1018446.0,477799.0,1856408.0,434755.0,1302416.0,597036.0,293398.0
Алтайский край,01000000,01000000,2016_avg,2314316.0,1064426.0,1249889.0,1309317.0,1004998.0,483488.0,1830828.0,439233.0,1269216.0,605867.0,300066.0
Алтайский край,01000000,01000000,2017_avg,2290644.0,1052426.0,1238218.0,1300488.0,990156.0,486096.0,1804548.0,441259.0,1236664.0,612721.0,306474.0
Алтайский край,01000000,01000000,2018_avg,2263890.0,1039297.0,1224592.0,1291700.0,972190.0,485089.0,1778800.0,441018.0,1204973.0,617898.0,311729.0
Алтайский край,01000000,01000000,2019_avg,2237108.0,1025958.0,1211150.0,1283926.0,953181.0,482752.0,1754355.0,437656.0,1194076.0,605376.0,316790.0
Алтайский край,01000000,01000000,2020_avg,2208563.0,1011491.0,1197072.0,1274762.0,933800.0,479916.0,1728648.0,432470.0,1187026.0,589068.0,320888.0
Алтайский край,01000000,01000000,2021_avg,2173970.0,994756.0,1179213.0,1262130.0,911840.0,474935.0,1699034.0,426936.0,1179178.0,567856.0,322078.0
Алтайский край,01000000,01000000,2022_avg,2142941.0,979528.0,1163413.0,1248844.0,894098.0,468440.0,1674500.0,421020.0,1172253.0,549668.0,326300.0
Алтайский край,01000000,01000000,2023_avg,2123129.0,969060.0,1154070.0,1239926.0,883203.0,461562.0,1661566.0,412903.0,1170832.0,539394.0,337998.0
Алтайский край,01000000,01000000,2024_avg,2107247.0,960472.0,1146775.0,1234994.0,872252.0,454350.0,1652898.0,401019.0,1176868.0,529360.0,352298.0
Амурская область,10000000,10000000,2000,935607.0,455209.0,480398.0,621766.0,313841.0,245744.0,689863.0,208736.0,580645.0,146226.0,73125.0
Амурская область,10000000,10000000,2001,923055.0,447670.0,475385.0,615020.0,308035.0,234075.0,688980.0,198114.0,579831.0,145110.0,72049.0
Амурская область,10000000,10000000,2002,911381.0,440616.0,470765.0,600813.0,310568.0,222808.0,688573.0,189522.0,576368.0,145491.0,73121.0
Амурская область,10000000,10000000,2003,901044.0,434443.0,466601.0,594027.0,307017.0,213734.0,687310.0,180392.0,575310.0,145342.0,74544.0
Амурская область,10000000,10000000,2004,887781.0,425840.0,461941.0,587394.0,300387.0,205976.0,681805.0,172201.0,571659.0,143921.0,77246.0
Амурская область,10000000,10000000,2005,874018.0,417329.0,456689.0,580868.0,293150.0,197320.0,676698.0,165044.0,564929.0,144045.0,79155.0
Амурская область,10000000,10000000,2006,861056.0,409986.0,451070.0,572135.0,288921.0,188666.0,672390.0,158971.0,557166.0,144919.0,81149.0
Амурская область,10000000,10000000,2007,850502.0,404004.0,446498.0,566060.0,284442.0,181513.0,668989.0,153232.0,549819.0,147451.0,83051.0
Амурская область,10000000,10000000,2008,844290.0,400831.0,443459.0,562331.0,281959.0,176670.0,667620.0,150592.0,542389.0,151309.0,84116.0
Амурская область,10000000,10000000,2009,838869.0,397968.0,440901.0,559030.0,279839.0,172499.0,666370.0,150047.0,534800.0,154022.0,82939.0
Амурская область,10000000,10000000,2010,834905.0,396003.0,438902.0,555608.0,279297.0,170901.0,664004.0,151037.0,525898.0,157970.0,80024.0
Амурская область,10000000,10000000,2011,828660.0,392975.0,435685.0,553987.0,274673.0,169606.0,659054.0,150800.0,515884.0,161976.0,77543.0
Амурская область,10000000,10000000,2012,820627.0,388585.0,432042.0,549778.0,270849.0,170368.0,650259.0,152101.0,503373.0,165153.0,75610.0
Амурская область,10000000,10000000,2013,815163.0,385721.0,429442.0,547464.0,267699.0,171870.0,643293.0,154500.0,492827.0,167836.0,76151.0
Амурская область,10000000,10000000,2014,808726.0,382330.0,426396.0,544434.0,264292.0,173354.0,635372.0,157235.0,480516.0,170975.0,78228.0
Амурская область,10000000,10000000,2015,806524.0,382440.0,424084.0,544168.0,262356.0,175097.0,631427.0,159194.0,473129.0,174201.0,79541.0
Амурская область,10000000,10000000,2016,801539.0,379272.0,422267.0,540968.0,260571.0,177488.0,624051.0,161394.0,462733.0,177412.0,82667.0
Амурская область,10000000,10000000,2017,796801.0,376713.0,420088.0,537560.0,259241.0,179041.0,617760.0,162403.0,454612.0,179786.0,86105.0
Амурская область,10000000,10000000,2018,792672.0,374909.0,417763.0,535302.0,257370.0,180162.0,612510.0,162807.0,448787.0,181078.0,89096.0
Амурская область,10000000,10000000,2019,786641.0,372053.0,414588.0,532338.0,254303.0,179596.0,607045.0,161710.0,442233.0,182698.0,92379.0
Амурская область,10000000,10000000,2020,782690.0,370893.0,411797.0,531259.0,251431.0,178256.0,604434.0,159159.0,449491.0,174040.0,94892.0
Амурская область,10000000,10000000,2021,773692.0,365930.0,407762.0,525919.0,247773.0,176234.0,597458.0,156999.0,443548.0,173145.0,96909.0
Амурская область,10000000,10000000,2022,763570.0,361556.0,402014.0,520498.0,243072.0,172916.0,590654.0,154011.0,448161.0,161398.0,97068.0
